,dataset,instance,interpreter,complex_model,result
370,boston,70,lime,rf,0.1851881746592852
371,boston,71,lime,rf,0.1536192166683425
372,boston,72,lime,rf,0.7096287851709724
373,boston,73,lime,rf,0.008786945386798237
374,boston,74,lime,rf,0.11900223436709675
375,boston,75,lime,rf,3.0423404167621904
376,boston,76,lime,rf,3.641052001634819
377,boston,77,lime,rf,0.4120408581724593
378,boston,78,lime,rf,3.4343773634607166
379,boston,79,lime,rf,0.3343327683980153
380,boston,80,lime,rf,2.9853928705935275
381,boston,81,lime,rf,4.933351205713713
382,boston,82,lime,rf,0.06746430603989631
383,boston,83,lime,rf,4.33690120976223
384,boston,84,lime,rf,4.763729300622924
385,boston,85,lime,rf,0.10890322340668004
386,boston,86,lime,rf,0.17839067303852935
387,boston,87,lime,rf,6.680109529836702
388,boston,88,lime,rf,0.007535366823004856
389,boston,89,lime,rf,0.14716803950877105
390,boston,90,lime,rf,0.032204724395588954
391,boston,91,lime,rf,0.6993999135059364
392,boston,92,lime,rf,0.8356399405195325
393,boston,93,lime,rf,0.2633099534985089
394,boston,94,lime,rf,0.27507557350839434
395,boston,95,lime,rf,0.20376586091698656
396,boston,96,lime,rf,0.3603096287941903
397,boston,97,lime,rf,4.921481905829704
398,boston,98,lime,rf,0.0310164090761646
399,boston,99,lime,rf,1.040280876159009
400,boston,0,lime,mlp,0.013582766913508595
401,boston,1,lime,mlp,0.8921074325547272
402,boston,2,lime,mlp,1.5285697632008153
403,boston,3,lime,mlp,1.4795183268606995
404,boston,4,lime,mlp,0.9948168736341676
405,boston,5,lime,mlp,0.8238261889987978
406,boston,6,lime,mlp,0.5362321405302973
407,boston,7,lime,mlp,0.5031749612342393
408,boston,8,lime,mlp,0.2380620424881098
409,boston,9,lime,mlp,0.02436032789369421
410,boston,10,lime,mlp,5.824501308660556
411,boston,11,lime,mlp,1.94067416108384
412,boston,12,lime,mlp,0.4899628261371868
413,boston,13,lime,mlp,7.336151587162057
414,boston,14,lime,mlp,0.05054414436707399
415,boston,15,lime,mlp,0.9269654572725212
416,boston,16,lime,mlp,0.16709163269738128
417,boston,17,lime,mlp,1.2568244727959652
418,boston,18,lime,mlp,0.3158511817124252
419,boston,19,lime,mlp,0.5814138912122665
